gene_id,base_expression,expression_rate,sigma,cell_type_specific,specific_for,inherited_by
Gene_32,1.183032248817414,0.0,1.0,False,,
Gene_33,2.0896833365767553,0.0,1.0,False,,
Gene_34,1.3769086531750787,2.865722897026894,1.0,True,"StemCell,Progenitor1,TerminalCell_A",StemCell->Progenitor1;Progenitor1->TerminalCell_A
Gene_35,3.477097063337399,1.2860979792735523,1.0,True,Progenitor1,
Gene_36,4.996880220103273,3.1252850773305068,1.0,True,Progenitor2,
Gene_37,4.308012734763629,0.0,1.0,False,,
Gene_38,1.53627776043728,0.0,1.0,False,,
Gene_39,2.8992307935217925,0.0,1.0,False,,
Gene_40,4.384718783573523,0.0,1.0,False,,
Gene_41,4.9704609954484535,0.0,1.0,False,,
Gene_42,4.185636174412945,0.0,1.0,False,,
Gene_43,2.0747658884692997,0.0,1.0,False,,
Gene_44,4.9307736374886515,0.0,1.0,False,,
Gene_45,2.8890592466156777,0.0,1.0,False,,
Gene_46,4.820383254884551,0.0,1.0,False,,
Gene_47,1.5759121565923038,0.0,1.0,False,,
Gene_48,4.5957329711218335,3.5651425315309058,1.0,True,TerminalCell_B,
Gene_49,4.900171576826672,3.0272997272348228,1.0,True,Progenitor2,
Gene_50,1.2569389655868908,0.0,1.0,False,,
Gene_51,2.4319909617405586,0.0,1.0,False,,
Gene_52,4.984350660153586,0.0,1.0,False,,
Gene_53,2.6460423448953665,0.0,1.0,False,,
Gene_54,2.8563508982796475,0.0,1.0,False,,
Gene_55,4.473643979354387,0.0,1.0,False,,
Gene_56,4.682988006617863,2.2033840432543115,1.0,True,TerminalCell_A,
Gene_57,4.160621859936256,0.0,1.0,False,,
Gene_58,1.3782321916796927,0.0,1.0,False,,
Gene_59,3.4452472340765166,1.9755932379939538,1.0,True,TerminalCell_A,
Gene_60,4.074419245634568,0.0,1.0,False,,
Gene_61,2.9414128441403795,0.0,1.0,False,,
Gene_62,3.9494273628722665,3.6438816551833306,1.0,True,TerminalCell_B,
Gene_63,3.6198553940809743,1.1587103409009534,1.0,True,"StemCell,Progenitor1",StemCell->Progenitor1
Gene_64,1.7307307349086898,3.226128879789759,1.0,True,"StemCell,Progenitor1,TerminalCell_A",StemCell->Progenitor1;Progenitor1->TerminalCell_A
Gene_65,4.888738764812516,0.0,1.0,False,,
Gene_66,3.115749534263972,0.0,1.0,False,,
Gene_67,3.6035425004006583,2.6893430810783507,1.0,True,TerminalCell_A,
Gene_68,1.7764780864559273,0.0,1.0,False,,
Gene_69,4.696011280805374,0.0,1.0,False,,
Gene_70,1.4835497558360915,0.0,1.0,False,,
Gene_71,3.054306087198712,0.0,1.0,False,,
Gene_72,1.0704020647713945,0.0,1.0,False,,
Gene_73,4.721036980842627,0.0,1.0,False,,
Gene_74,2.9160272726736207,0.0,1.0,False,,
Gene_75,3.5867177116109903,0.0,1.0,False,,
Gene_76,2.58860002774443,2.6575233694966465,1.0,True,"StemCell,Progenitor1,TerminalCell_A",StemCell->Progenitor1;Progenitor1->TerminalCell_A
Gene_77,2.3069232918931384,0.0,1.0,False,,
Gene_78,3.5575811345505803,0.0,1.0,False,,
Gene_79,4.211521542417215,0.0,1.0,False,,
Gene_80,3.3822337505789943,0.0,1.0,False,,
Gene_81,3.2752406544004473,1.9311852393896696,1.0,True,TerminalCell_A,
Gene_82,1.2725938675614543,0.0,1.0,False,,
Gene_83,4.061196441519062,2.5341369590619904,1.0,True,Progenitor1,
Gene_84,4.275041751641631,0.0,1.0,False,,
Gene_85,1.0249112671732443,0.0,1.0,False,,
Gene_86,4.986423912580463,0.0,1.0,False,,
Gene_87,1.177436867547232,0.0,1.0,False,,
Gene_88,3.7766258219947013,0.0,1.0,False,,
Gene_89,3.9554091213556983,0.0,1.0,False,,
Gene_90,2.96456173272404,0.0,1.0,False,,
Gene_91,1.0333746295592365,1.751337476454443,1.0,True,Progenitor1,
Gene_92,1.4018610415122414,0.0,1.0,False,,
Gene_93,1.4750447386665018,2.8187598007004735,1.0,True,"Progenitor1,TerminalCell_A",Progenitor1->TerminalCell_A
Gene_94,2.17337760692455,2.857813398134659,1.0,True,"StemCell,Progenitor2",StemCell->Progenitor2
Gene_95,1.4688702144566723,0.0,1.0,False,,
Gene_96,3.8543393580859666,1.1006072935572733,1.0,True,TerminalCell_A,
Gene_97,3.258581480304363,2.475018710461994,1.0,True,Progenitor2,
Gene_98,4.35596698053685,0.0,1.0,False,,
Gene_99,3.766432133092823,1.57179698663729,1.0,True,TerminalCell_B,
Gene_100,4.249494682179957,0.0,1.0,False,,
Gene_101,4.860947819859794,0.0,1.0,False,,
Gene_102,3.9239391302017763,0.0,1.0,False,,
Gene_103,1.798071199121523,1.0688962030310774,1.0,True,Progenitor2,
Gene_104,1.6326518382792283,0.0,1.0,False,,
Gene_105,3.4835840029678744,0.0,1.0,False,,
Gene_106,4.049910146985196,0.0,1.0,False,,
Gene_107,3.1615163943581788,0.0,1.0,False,,
Gene_108,4.370393266063198,0.0,1.0,False,,
Gene_109,1.959625807264517,0.0,1.0,False,,
Gene_110,2.5968436521690683,0.0,1.0,False,,
Gene_111,4.204730375974318,0.0,1.0,False,,
Gene_112,3.367930247535132,0.0,1.0,False,,
Gene_113,2.427672551405985,0.0,1.0,False,,
Gene_114,3.41499110883152,0.0,1.0,False,,
Gene_115,4.553095313506763,1.9610454248091749,1.0,True,TerminalCell_B,
Gene_116,2.818670916328983,0.0,1.0,False,,
Gene_117,3.0088211550211907,4.063622275670918,1.0,True,"StemCell,Progenitor2,TerminalCell_B",StemCell->Progenitor2;Progenitor2->TerminalCell_B
Gene_118,3.9126529502493246,0.0,1.0,False,,
Gene_119,1.3098459424448503,0.0,1.0,False,,
Gene_120,3.452567632740099,0.0,1.0,False,,
Gene_121,3.33434084750856,0.0,1.0,False,,
Gene_122,4.67974732644209,0.0,1.0,False,,
Gene_123,1.7452272035662375,0.0,1.0,False,,
Gene_124,2.7377498856411266,0.0,1.0,False,,
Gene_125,3.382136571023472,0.0,1.0,False,,
Gene_126,2.899505533071309,3.537048698484945,1.0,True,"Progenitor2,TerminalCell_B",Progenitor2->TerminalCell_B
Gene_127,3.81735907903081,3.9677935041776133,1.0,True,TerminalCell_B,
Gene_128,3.201362985194312,0.0,1.0,False,,
Gene_129,4.747338435627405,3.8908685558165614,1.0,True,"StemCell,Progenitor1,TerminalCell_A",StemCell->Progenitor1;Progenitor1->TerminalCell_A
Gene_130,2.4641099090246037,0.0,1.0,False,,
Gene_131,4.815531564083436,4.028111748532718,1.0,True,"Progenitor2,TerminalCell_B",Progenitor2->TerminalCell_B
Gene_132,2.071406275085256,0.0,1.0,False,,
Gene_133,2.9538011947851563,0.0,1.0,False,,
Gene_134,2.199903207579539,2.263943330446254,1.0,True,"StemCell,Progenitor1,TerminalCell_A",StemCell->Progenitor1;Progenitor1->TerminalCell_A
Gene_135,3.6774920336486416,0.0,1.0,False,,
Gene_136,4.252531218187975,0.0,1.0,False,,
Gene_137,3.631171560161326,0.0,1.0,False,,
Gene_138,3.1678797894543984,0.0,1.0,False,,
Gene_139,4.212344830030613,0.0,1.0,False,,
Gene_140,3.360232532424611,0.0,1.0,False,,
Gene_141,4.411462002742338,0.0,1.0,False,,
Gene_142,2.9558299840508617,0.0,1.0,False,,
Gene_143,1.0234845739894847,0.0,1.0,False,,
Gene_144,2.5408883399637614,0.0,1.0,False,,
Gene_145,4.165828045554424,0.0,1.0,False,,
Gene_146,2.615355864248664,0.0,1.0,False,,
Gene_147,1.156609349205096,0.0,1.0,False,,
Gene_148,4.959647256937632,4.33149214894904,1.0,True,"StemCell,Progenitor1,TerminalCell_A",StemCell->Progenitor1;Progenitor1->TerminalCell_A
Gene_149,3.8586469541532478,0.0,1.0,False,,
Gene_150,2.2028252364770062,0.0,1.0,False,,
Gene_151,2.4749116852890136,0.0,1.0,False,,
Gene_152,3.369358634975991,0.0,1.0,False,,
Gene_153,3.751132644221341,0.0,1.0,False,,
Gene_154,2.446553200482859,0.0,1.0,False,,
Gene_155,4.732457111486315,0.0,1.0,False,,
Gene_156,1.3248943074900965,0.0,1.0,False,,
Gene_157,2.8641145392549814,0.0,1.0,False,,
Gene_158,3.910104038921454,0.0,1.0,False,,
Gene_159,2.9425664587532077,0.0,1.0,False,,
Gene_160,2.8601148088044184,2.018927497417523,1.0,True,Progenitor2,
Gene_161,1.9108642384763872,0.0,1.0,False,,
Gene_162,2.5677667777499926,0.0,1.0,False,,
Gene_163,1.9628454521524907,3.8813790110674704,1.0,True,TerminalCell_A,
Gene_164,4.0694353916171115,0.0,1.0,False,,
Gene_165,3.100014184376582,0.0,1.0,False,,
Gene_166,2.8207571582395254,0.0,1.0,False,,
Gene_167,4.574563381650426,0.0,1.0,False,,
Gene_168,1.792170737740947,0.0,1.0,False,,
Gene_169,2.9349007639951847,0.0,1.0,False,,
Gene_170,1.9677844054476314,2.9353266165204706,1.0,True,TerminalCell_A,
Gene_171,2.8000404877382787,0.0,1.0,False,,
Gene_172,4.443105886297568,4.613451173795276,1.0,True,"Progenitor1,TerminalCell_A",Progenitor1->TerminalCell_A
Gene_173,4.3563447176980095,0.0,1.0,False,,
Gene_174,3.365621258219853,0.0,1.0,False,,
Gene_175,4.039419448938975,0.0,1.0,False,,
Gene_176,3.531769040326666,2.1419578743376255,1.0,True,"StemCell,Progenitor2,TerminalCell_B",StemCell->Progenitor2;Progenitor2->TerminalCell_B
Gene_177,4.769962613425534,0.0,1.0,False,,
Gene_178,1.6066200441864789,0.0,1.0,False,,
Gene_179,3.7593199890507427,0.0,1.0,False,,
Gene_180,3.115432719064351,0.0,1.0,False,,
Gene_181,1.098678081845077,2.660390914843801,1.0,True,TerminalCell_B,
Gene_182,1.3457744735480301,0.0,1.0,False,,
Gene_183,4.789293093490072,0.0,1.0,False,,
Gene_184,4.894484974574738,2.9868743776961706,1.0,True,TerminalCell_B,
Gene_185,4.470902449408973,2.835239714848638,1.0,True,"Progenitor2,TerminalCell_B",Progenitor2->TerminalCell_B
Gene_186,3.1069933130377305,0.0,1.0,False,,
Gene_187,2.9142107107107007,2.052112070746871,1.0,True,TerminalCell_A,
Gene_188,1.4434942330019873,0.0,1.0,False,,
Gene_189,3.1040985583138543,0.0,1.0,False,,
Gene_190,2.952993517823723,0.0,1.0,False,,
Gene_191,2.8599904162684053,0.0,1.0,False,,
Gene_192,1.4386618879650128,0.0,1.0,False,,
Gene_193,4.657196221460588,1.7039415467730161,1.0,True,"Progenitor2,TerminalCell_B",Progenitor2->TerminalCell_B
Gene_194,1.825527865728989,0.0,1.0,False,,
Gene_195,4.460304994445113,4.385843174935936,1.0,True,Progenitor2,
Gene_196,4.073807534433354,0.0,1.0,False,,
Gene_197,2.8056853009598663,0.0,1.0,False,,
Gene_198,4.562729466601809,2.4533379058594824,1.0,True,TerminalCell_B,
Gene_199,4.366736607625052,0.0,1.0,False,,
Gene_200,1.627514163637727,0.0,1.0,False,,
Gene_201,4.43928474531501,0.0,1.0,False,,
Gene_202,4.4171236279947115,0.0,1.0,False,,
Gene_203,2.996503807978689,1.4367997125853584,1.0,True,Progenitor1,
Gene_204,2.1552043135178036,0.0,1.0,False,,
Gene_205,2.4330555715109927,0.0,1.0,False,,
Gene_206,4.07258893197117,0.0,1.0,False,,
Gene_207,1.9319903138097994,0.0,1.0,False,,
Gene_208,1.2549314310210047,0.0,1.0,False,,
Gene_209,2.6445604001730127,0.0,1.0,False,,
Gene_210,1.2907062465967178,0.0,1.0,False,,
Gene_211,2.5448818250373284,0.0,1.0,False,,
Gene_212,1.6965987427229852,0.0,1.0,False,,
Gene_213,2.348521260910204,0.0,1.0,False,,
Gene_214,4.140605217061832,1.2453938211341251,1.0,True,"Progenitor1,TerminalCell_A",Progenitor1->TerminalCell_A
Gene_215,1.7333377405759478,0.0,1.0,False,,
Gene_216,3.9962606452042966,0.0,1.0,False,,
Gene_217,3.2185876699734095,2.5266843547224678,1.0,True,Progenitor1,
Gene_218,4.762229643411054,0.0,1.0,False,,
Gene_219,4.261444339042363,0.0,1.0,False,,
Gene_220,4.800677145817666,0.0,1.0,False,,
Gene_221,1.4605428565284573,0.0,1.0,False,,
Gene_222,3.4731734408121953,0.0,1.0,False,,
Gene_223,1.2968887321641511,0.0,1.0,False,,
Gene_224,4.516864943668429,0.0,1.0,False,,
Gene_225,1.3711417168168696,0.0,1.0,False,,
Gene_226,3.3178794502346713,2.7518344599448596,1.0,True,Progenitor1,
Gene_227,4.943084248190079,0.0,1.0,False,,
Gene_228,3.6416697423302264,0.0,1.0,False,,
Gene_229,3.9154361908918363,0.0,1.0,False,,
Gene_230,1.3706890978946937,1.391408961708394,1.0,True,TerminalCell_B,
Gene_231,1.2081594951873447,4.398505375754652,1.0,True,"Progenitor1,TerminalCell_A",Progenitor1->TerminalCell_A
Gene_232,3.7264288638278797,0.0,1.0,False,,
Gene_233,3.641636178742626,0.0,1.0,False,,
Gene_234,4.184101428194332,0.0,1.0,False,,
Gene_235,1.697774505798102,0.0,1.0,False,,
Gene_236,2.3101611706997622,0.0,1.0,False,,
Gene_237,2.0017861221985993,0.0,1.0,False,,
Gene_238,1.0728182491018678,3.0861197472772512,1.0,True,"StemCell,Progenitor2,TerminalCell_B",StemCell->Progenitor2;Progenitor2->TerminalCell_B
Gene_239,1.5418789483574145,0.0,1.0,False,,
Gene_240,4.087688989829871,4.071459999760457,1.0,True,"StemCell,Progenitor1",StemCell->Progenitor1
Gene_241,2.6567762382596136,1.6741980297474361,1.0,True,"StemCell,Progenitor2",StemCell->Progenitor2
Gene_242,4.275436588066115,0.0,1.0,False,,
Gene_243,3.248214203171837,3.673756218456077,1.0,True,"StemCell,Progenitor2",StemCell->Progenitor2
Gene_244,3.3262163652788264,0.0,1.0,False,,
Gene_245,3.426021496251309,0.0,1.0,False,,
Gene_246,1.4603084023031903,0.0,1.0,False,,
Gene_247,2.505141979662604,0.0,1.0,False,,
Gene_248,1.668793848537312,0.0,1.0,False,,
Gene_249,4.643417536136678,0.0,1.0,False,,
Gene_250,2.7105805357363493,0.0,1.0,False,,
Gene_251,4.315415231794191,0.0,1.0,False,,
Gene_252,4.2337410219994105,0.0,1.0,False,,
Gene_253,3.2105255685386234,0.0,1.0,False,,
Gene_254,2.399980588818789,0.0,1.0,False,,
Gene_255,4.1906467543361074,0.0,1.0,False,,
Gene_256,2.282374013204962,0.0,1.0,False,,
Gene_257,1.2575677812378054,0.0,1.0,False,,
Gene_258,3.711566988488194,2.535025360439702,1.0,True,TerminalCell_B,
Gene_259,4.517663118358692,0.0,1.0,False,,
Gene_260,1.0402016665503027,0.0,1.0,False,,
Gene_261,1.5249253571419357,0.0,1.0,False,,
Gene_262,3.795472473916813,0.0,1.0,False,,
Gene_263,1.083057980410672,0.0,1.0,False,,
Gene_264,4.74983106434575,0.0,1.0,False,,
Gene_265,1.6336973188009605,2.5110579449245627,1.0,True,Progenitor1,
Gene_266,1.470046768305211,0.0,1.0,False,,
Gene_267,1.6319066914696516,0.0,1.0,False,,
Gene_268,1.0463133685379566,0.0,1.0,False,,
Gene_269,2.8026653100213736,0.0,1.0,False,,
Gene_270,1.6114244997132827,0.0,1.0,False,,
Gene_271,2.3975907318010434,0.0,1.0,False,,
Gene_272,3.825903765715606,0.0,1.0,False,,
Gene_273,1.5031583283570895,0.0,1.0,False,,
Gene_274,1.3393024280561039,3.732142323252125,1.0,True,"StemCell,Progenitor2",StemCell->Progenitor2
Gene_275,3.7601824384248004,0.0,1.0,False,,
Gene_276,2.4247688032144348,0.0,1.0,False,,
Gene_277,2.5021641737025577,0.0,1.0,False,,
Gene_278,1.3041219057593594,0.0,1.0,False,,
Gene_279,2.8449852748307185,0.0,1.0,False,,
Gene_280,4.414853954185347,4.130164720039922,1.0,True,TerminalCell_A,
Gene_281,3.742542402667553,4.672111713004442,1.0,True,TerminalCell_A,
Gene_282,1.572426020562824,2.9336891666267375,1.0,True,"Progenitor1,TerminalCell_A",Progenitor1->TerminalCell_A
Gene_283,1.627125588393195,0.0,1.0,False,,
Gene_284,3.6578061393424295,1.3803398215405758,1.0,True,Progenitor1,
Gene_285,3.8764186566612326,0.0,1.0,False,,
Gene_286,2.7700090236129475,1.4254383713834495,1.0,True,TerminalCell_B,
Gene_287,4.11054976209086,0.0,1.0,False,,
Gene_288,4.627851419952748,0.0,1.0,False,,
Gene_289,4.499410084017797,0.0,1.0,False,,
Gene_290,3.926950889334616,0.0,1.0,False,,
Gene_291,3.334805651923723,0.0,1.0,False,,
Gene_292,2.7162218122922868,0.0,1.0,False,,
Gene_293,1.0824242709354306,1.4005139418653232,1.0,True,TerminalCell_B,
Gene_294,4.1196283939148435,1.2661488976438187,1.0,True,TerminalCell_A,
Gene_295,2.563768929252323,2.260738311207484,1.0,True,"StemCell,Progenitor2",StemCell->Progenitor2
Gene_296,4.355151514440976,0.0,1.0,False,,
Gene_297,4.373664820911504,4.189148347804334,1.0,True,"StemCell,Progenitor1",StemCell->Progenitor1
Gene_298,4.757218301596012,0.0,1.0,False,,
Gene_299,2.3031414058069815,0.0,1.0,False,,
Gene_300,1.4141880040090316,2.8233201301600177,1.0,True,TerminalCell_A,
Gene_301,4.753732343415432,4.236822591753205,1.0,True,"Progenitor2,TerminalCell_B",Progenitor2->TerminalCell_B
Gene_302,4.16995194508744,0.0,1.0,False,,
Gene_303,4.054217322822639,0.0,1.0,False,,
Gene_304,2.759358750342297,2.9713857412022744,1.0,True,TerminalCell_B,
Gene_305,2.0767281345913142,0.0,1.0,False,,
Gene_306,3.536509217157843,0.0,1.0,False,,
Gene_307,1.9831448018703588,0.0,1.0,False,,
Gene_308,3.8881909891370627,0.0,1.0,False,,
Gene_309,3.1630250221669476,0.0,1.0,False,,
Gene_310,2.7605787950117757,0.0,1.0,False,,
Gene_311,4.690246414722862,0.0,1.0,False,,
Gene_312,1.1643744542259538,0.0,1.0,False,,
Gene_313,3.3137862791584634,0.0,1.0,False,,
Gene_314,2.073422512452806,0.0,1.0,False,,
Gene_315,4.839246517753681,0.0,1.0,False,,
Gene_316,4.795106388938718,0.0,1.0,False,,
Gene_317,1.646292246312135,0.0,1.0,False,,
Gene_318,3.043047496984109,4.189185899614157,1.0,True,"StemCell,Progenitor2,TerminalCell_B",StemCell->Progenitor2;Progenitor2->TerminalCell_B
Gene_319,3.4699467008834586,0.0,1.0,False,,
Gene_320,3.8784441602346273,1.392055050981868,1.0,True,TerminalCell_A,
Gene_321,1.847497119023671,0.0,1.0,False,,
Gene_322,1.7338921824007247,0.0,1.0,False,,
Gene_323,1.315218895811538,0.0,1.0,False,,
Gene_324,4.4575638118656835,0.0,1.0,False,,
Gene_325,4.937742031950834,1.2166347957381674,1.0,True,"StemCell,Progenitor1,TerminalCell_A",StemCell->Progenitor1;Progenitor1->TerminalCell_A
Gene_326,4.756291485334998,4.907036011525454,1.0,True,Progenitor2,
Gene_327,2.877500807507843,3.8783773125992576,1.0,True,Progenitor1,
Gene_328,3.5432294588502438,0.0,1.0,False,,
Gene_329,3.9791505959141666,0.0,1.0,False,,
Gene_330,3.312303035762797,0.0,1.0,False,,
Gene_331,1.6246534793581664,0.0,1.0,False,,
Gene_332,2.576055301083632,0.0,1.0,False,,
Gene_333,4.337182744957282,0.0,1.0,False,,
Gene_334,1.4632282830174432,0.0,1.0,False,,
Gene_335,3.7494926423464143,0.0,1.0,False,,
Gene_336,4.163275958789912,0.0,1.0,False,,
Gene_337,2.8466035800110014,2.1240962532970755,1.0,True,"StemCell,Progenitor2",StemCell->Progenitor2
Gene_338,3.871516363287446,0.0,1.0,False,,
Gene_339,2.439619993148957,1.224085402862431,1.0,True,TerminalCell_A,
Gene_340,1.018418211679009,0.0,1.0,False,,
Gene_341,3.8416247582604353,2.1517267819964494,1.0,True,TerminalCell_B,
Gene_342,1.7292015061995558,0.0,1.0,False,,
Gene_343,2.639293932432342,0.0,1.0,False,,
Gene_344,3.3010252771496598,0.0,1.0,False,,
Gene_345,2.967983911186215,0.0,1.0,False,,
Gene_346,1.5414451787619559,0.0,1.0,False,,
Gene_347,4.009234006914234,0.0,1.0,False,,
Gene_348,4.257495133128085,0.0,1.0,False,,
Gene_349,1.8708713949269309,0.0,1.0,False,,
Gene_350,1.746153771051664,0.0,1.0,False,,
Gene_351,2.2679352316448096,0.0,1.0,False,,
Gene_352,3.0659419806227515,1.1202660305288616,1.0,True,TerminalCell_A,
Gene_353,4.520157017039413,0.0,1.0,False,,
Gene_354,2.708882154951329,0.0,1.0,False,,
Gene_355,1.6413494416387207,3.120671197266666,1.0,True,"StemCell,Progenitor1",StemCell->Progenitor1
Gene_356,4.549907591598362,4.907672896172372,1.0,True,Progenitor2,
Gene_357,2.484414178089332,2.71109620783967,1.0,True,TerminalCell_B,
Gene_358,3.0928279023636622,0.0,1.0,False,,
Gene_359,2.8176125446530778,0.0,1.0,False,,
Gene_360,2.946654200681827,0.0,1.0,False,,
Gene_361,2.1251997691063576,0.0,1.0,False,,
Gene_362,3.349583649636656,0.0,1.0,False,,
Gene_363,2.0579529472487255,0.0,1.0,False,,
Gene_364,1.985753984899774,3.641169260830131,1.0,True,Progenitor2,
Gene_365,1.5926509653620937,0.0,1.0,False,,
Gene_366,1.1046417656949123,0.0,1.0,False,,
Gene_367,4.354231925343475,0.0,1.0,False,,
Gene_368,3.0265189319459807,0.0,1.0,False,,
Gene_369,2.980016835511317,0.0,1.0,False,,
Gene_370,4.908651052600433,0.0,1.0,False,,
Gene_371,2.6935512932553487,1.1881625256434396,1.0,True,"Progenitor2,TerminalCell_B",Progenitor2->TerminalCell_B
Gene_372,1.887593613329757,0.0,1.0,False,,
Gene_373,2.355721163224389,0.0,1.0,False,,
Gene_374,4.454181486492129,0.0,1.0,False,,
Gene_375,3.3029681938980464,0.0,1.0,False,,
Gene_376,4.978436042254842,0.0,1.0,False,,
Gene_377,2.4606435853351876,0.0,1.0,False,,
Gene_378,4.825103556281533,3.199960594294922,1.0,True,Progenitor2,
Gene_379,3.7437908408280123,0.0,1.0,False,,
Gene_380,1.6251427297351002,0.0,1.0,False,,
Gene_381,3.562955503502212,1.3759428908570954,1.0,True,"StemCell,Progenitor2,TerminalCell_B",StemCell->Progenitor2;Progenitor2->TerminalCell_B
Gene_382,3.341513480042478,0.0,1.0,False,,
Gene_383,4.500758756007533,0.0,1.0,False,,
Gene_384,4.218904140314546,3.837027321784862,1.0,True,"StemCell,Progenitor2,TerminalCell_B",StemCell->Progenitor2;Progenitor2->TerminalCell_B
Gene_385,4.480376210555027,0.0,1.0,False,,
Gene_386,2.701858944235932,3.7796040032276093,1.0,True,TerminalCell_B,
Gene_387,3.4724199919891965,0.0,1.0,False,,
Gene_388,3.3241699912746503,0.0,1.0,False,,
Gene_389,2.1621682722815354,0.0,1.0,False,,
Gene_390,4.9988770316239535,0.0,1.0,False,,
Gene_391,2.791435189003661,0.0,1.0,False,,
Gene_392,1.0084041799027346,1.9481677768472916,1.0,True,TerminalCell_A,
Gene_393,1.0411528250027793,0.0,1.0,False,,
Gene_394,1.6949672902944517,0.0,1.0,False,,
Gene_395,2.023822117778707,0.0,1.0,False,,
Gene_396,2.780444697627777,0.0,1.0,False,,
Gene_397,4.819308034833605,0.0,1.0,False,,
Gene_398,1.1027706041887613,0.0,1.0,False,,
Gene_399,4.212970369108099,0.0,1.0,False,,
Gene_400,4.922716570089128,0.0,1.0,False,,
Gene_401,3.6296690577807063,0.0,1.0,False,,
Gene_402,2.6718317094260917,2.7190504421656505,1.0,True,TerminalCell_B,
Gene_403,1.095183880499937,0.0,1.0,False,,
Gene_404,4.120653671636422,2.420744200101802,1.0,True,"Progenitor2,TerminalCell_B",Progenitor2->TerminalCell_B
Gene_405,3.4185095021118825,0.0,1.0,False,,
Gene_406,4.224641487375089,3.4219589550940346,1.0,True,Progenitor1,
Gene_407,4.5610913735224035,0.0,1.0,False,,
Gene_408,2.8577149888076567,1.888459920232258,1.0,True,"StemCell,Progenitor2,TerminalCell_B",StemCell->Progenitor2;Progenitor2->TerminalCell_B
Gene_409,3.052845131279205,0.0,1.0,False,,
Gene_410,4.39613387410628,0.0,1.0,False,,
Gene_411,4.418356661420161,0.0,1.0,False,,
Gene_412,1.4350862870623655,0.0,1.0,False,,
Gene_413,4.4936487195296575,0.0,1.0,False,,
Gene_414,3.9590758691305137,0.0,1.0,False,,
Gene_415,4.682513859821668,0.0,1.0,False,,
Gene_416,1.3391002741356846,0.0,1.0,False,,
Gene_417,1.2741911867992974,0.0,1.0,False,,
Gene_418,4.660141249602923,4.024439309665215,1.0,True,TerminalCell_A,
Gene_419,4.708329421527621,1.6778684716274843,1.0,True,"StemCell,Progenitor2,TerminalCell_B",StemCell->Progenitor2;Progenitor2->TerminalCell_B
Gene_420,4.056337227142257,0.0,1.0,False,,
Gene_421,2.445006744723355,0.0,1.0,False,,
Gene_422,3.9917460480294067,0.0,1.0,False,,
Gene_423,1.128826827624069,0.0,1.0,False,,
Gene_424,1.8833151973125677,2.114933141753647,1.0,True,TerminalCell_B,
Gene_425,4.381146237721638,0.0,1.0,False,,
Gene_426,4.725819244030767,0.0,1.0,False,,
Gene_427,2.349608046002248,0.0,1.0,False,,
Gene_428,1.3730721057667243,3.7922489117335263,1.0,True,TerminalCell_A,
Gene_429,3.427625126335465,0.0,1.0,False,,
Gene_430,4.243867354270594,0.0,1.0,False,,
Gene_431,1.5225399547140164,0.0,1.0,False,,
Gene_432,1.3510227022811825,4.371677870212233,1.0,True,Progenitor1,
Gene_433,2.594901005794677,0.0,1.0,False,,
Gene_434,1.0443168900234623,0.0,1.0,False,,
